SKU,Model,Week 49,Last 4W Total,4W Avg,% Contribution,Trend,3W Trend
FBA79819,LR-03,112,112,112.0,1.42%,,→ FLAT
FBA79692,AP-03,92,92,92.0,12.52%,,→ FLAT
FBA78980,GS-02,79,79,79.0,5.54%,,→ FLAT
FBA79404,FS-01,67,67,67.0,3.69%,,→ FLAT
FBA79268,GS-05,51,51,51.0,3.35%,,→ FLAT
FBA79452,VC-01,49,49,49.0,3.20%,,→ FLAT
FBA79681,HU-01,49,49,49.0,3.24%,,→ FLAT
FBA78981,SC-01,47,47,47.0,5.62%,,→ FLAT
FBA79652,SC-05,44,44,44.0,4.46%,,→ FLAT
FBA79489,KE-02,41,41,41.0,2.13%,,→ FLAT
FBA79464,CM-01-BL,39,39,39.0,1.65%,,→ FLAT
FBA79591,KM-01,36,36,36.0,1.82%,,→ FLAT
FBA79440,LE-02,34,34,34.0,2.37%,,→ FLAT
FBA79570,BR-01,31,31,31.0,1.68%,,→ FLAT
FBA79573,EA-02,28,28,28.0,2.58%,,→ FLAT
FBA79279,LR-01,28,28,28.0,0.74%,,→ FLAT
FBA79567,SC-04,27,27,27.0,5.51%,,→ FLAT
FBA79467,TM-01,27,27,27.0,0.63%,,→ FLAT
FBA79350,EA-01,27,27,27.0,1.04%,,→ FLAT
FBA79333,HM-02,23,23,23.0,0.99%,,→ FLAT
FBK79271,V-01 RG,22,22,22.0,1.14%,,→ FLAT
FBA79493,V-03,22,22,22.0,1.52%,,→ FLAT
FBA79271,V-01,21,21,21.0,1.07%,,→ FLAT
FBA79349,SW-01,21,21,21.0,0.74%,,→ FLAT
FBA79373,ET-01-BK_N,21,21,21.0,0.21%,,→ FLAT
FBA79682,HU-02,21,21,21.0,1.38%,,→ FLAT
FBA79263,MR-01,21,21,21.0,2.09%,,→ FLAT
FBA79267,T-02,20,20,20.0,0.71%,,→ FLAT
FBA79778,AP-03 HEPA,20,20,20.0,0.77%,,→ FLAT
FBA79374,ET-02-GN_N,19,19,19.0,0.21%,,→ FLAT
FBA79280,LR-02 Blue,19,19,19.0,0.98%,,→ FLAT
FBA79266,nan,19,19,19.0,0.50%,,→ FLAT
FBA79463,VC-02,18,18,18.0,1.49%,,→ FLAT
FBA79439,MR-02,18,18,18.0,2.01%,,→ FLAT
FBA79811,MC-01,18,18,18.0,0.32%,,→ FLAT
FBA79406,HSB-04,17,17,17.0,1.45%,,→ FLAT
FBA79405,HSB-03,16,16,16.0,1.06%,,→ FLAT
FBA79352,WF-02-BL,14,14,14.0,0.62%,,→ FLAT
FBA79472,CM-02-PR,13,13,13.0,0.50%,,→ FLAT
FBA79589,SS-02,12,12,12.0,0.78%,,→ FLAT
FBA79346,ETC-04-WH,12,12,12.0,0.33%,,→ FLAT
FBA79590,CFM-01,11,11,11.0,1.06%,,→ FLAT
FBA79348,HD-02,11,11,11.0,0.37%,,→ FLAT
FBA79332,HM-01,11,11,11.0,0.34%,,→ FLAT
FBA79265,CR-01,11,11,11.0,0.36%,,→ FLAT
FBA79272,HS-01,11,11,11.0,0.24%,,→ FLAT
FBA79812,PB-01,10,10,10.0,0.74%,,→ FLAT
FBA79488,KE-01,10,10,10.0,0.57%,,→ FLAT
FBA79707,ETC-08-BL,9,9,9.0,0.21%,,→ FLAT
FBA79810,MF-01,9,9,9.0,0.15%,,→ FLAT
FBA79229,GS-04,8,8,8.0,0.59%,,→ FLAT
FBA79469,LE-04,8,8,8.0,0.40%,,→ FLAT
FBA79566,VC-05,7,7,7.0,0.54%,,→ FLAT
FBA79277,SC-03,7,7,7.0,1.72%,,→ FLAT
FBA79278,HD-01,7,7,7.0,0.30%,,→ FLAT
FBA79673,ETC-07-WH,7,7,7.0,0.16%,,→ FLAT
FBA79679,ST-01,7,7,7.0,1.49%,,→ FLAT
FBA79480,VC-03,7,7,7.0,0.47%,,→ FLAT
FBA79474,TIC-03,7,7,7.0,0.43%,,→ FLAT
FBA78994,NP-01,6,6,6.0,0.10%,,→ FLAT
FBA79599,VC-06,5,5,5.0,0.24%,,→ FLAT
FBA79699,SPM-01(New),5,5,5.0,0.69%,,→ FLAT
FBA79485,TM-04,5,5,5.0,0.17%,,→ FLAT
FBA79381,ETR-06,5,5,5.0,0.23%,,→ FLAT
FBA79262,SC-02,5,5,5.0,0.44%,,→ FLAT
FBA79276,SM-01,5,5,5.0,0.65%,,→ FLAT
FBA79677,NP-06,4,4,4.0,0.16%,,→ FLAT
FBA79451,SS-01,4,4,4.0,0.31%,,→ FLAT
FBAM79351,LE-01,3,3,3.0,0.05%,,→ FLAT
FBA79915,ST-01 ST-01 Set of Hooks,3,3,3.0,0.16%,,→ FLAT
FBA79771,SC-01 Set of Spares,3,3,3.0,0.04%,,→ FLAT
FBA79375,ET-03-BL_N,3,3,3.0,0.03%,,→ FLAT
FBА79266,T-01,3,3,3.0,0.13%,,→ FLAT
FBA79492,V-02,3,3,3.0,0.23%,,→ FLAT
FBA79565,VC-04,3,3,3.0,0.25%,,→ FLAT
FBA79483,TM-03,3,3,3.0,0.14%,,→ FLAT
FBA79678,NP-07,2,2,2.0,0.03%,,→ FLAT
FBA79598,BM-02,2,2,2.0,0.13%,,→ FLAT
FBA79481,TM-02,2,2,2.0,0.22%,,→ FLAT
FBA79596,MG-01,2,2,2.0,0.12%,,→ FLAT
FBA79698,SS-01(New),2,2,2.0,0.18%,,→ FLAT
FBA78995,NP-02,2,2,2.0,0.04%,,→ FLAT
FBA79686,MGS-02,2,2,2.0,0.09%,,→ FLAT
FBA79473,TI-02,2,2,2.0,0.12%,,→ FLAT
FBA79809,KE-03,2,2,2.0,0.05%,,→ FLAT
FBA79606,LR-01 Set of 2 blades,1,1,1.0,0.01%,,→ FLAT
FBAM79685,LE-08,1,1,1.0,0.05%,,→ FLAT
FBK79347,nan,1,1,1.0,0.02%,,→ FLAT
FBA79912,SC-05 SC-05 - Set of Spares,1,1,1.0,0.01%,,→ FLAT
FBA78996,NP-03,1,1,1.0,0.03%,,→ FLAT
FBA79774,VC-02 HEPA,1,1,1.0,0.01%,,→ FLAT
FBA79617,nan,1,1,1.0,0.10%,,→ FLAT
FBA79347,ETC-05-PI,1,1,1.0,0.02%,,→ FLAT
FBA79772,SC-02 Set of Spares,1,1,1.0,0.01%,,→ FLAT
FBA79717,SPM-01 Set of 2 Mops,1,1,1.0,0.01%,,→ FLAT
FBA79693,TM-05,1,1,1.0,0.09%,,→ FLAT
FBA79675,PM-01,1,1,1.0,0.08%,,→ FLAT
FBA79689,CFM-02,1,1,1.0,0.21%,,→ FLAT
FBA79466,TI-01,1,1,1.0,0.07%,,→ FLAT
FBA79595,EM-02,1,1,1.0,0.07%,,→ FLAT
FBA79234,ET-02-GN,0,0,0.0,0.00%,,→ FLAT